image,complexity,top_k
synthetic_0000.jpg,0.0131,1
synthetic_0001.jpg,0.0156,1
synthetic_0002.jpg,0.0183,1
synthetic_0003.jpg,0.0210,1
synthetic_0004.jpg,0.0237,1
synthetic_0005.jpg,0.0263,1
synthetic_0006.jpg,0.0289,1
synthetic_0007.jpg,0.0313,1
synthetic_0008.jpg,0.0336,1
synthetic_0009.jpg,0.0361,1
synthetic_0010.jpg,0.0383,1
synthetic_0011.jpg,0.0403,1
synthetic_0012.jpg,0.0424,1
synthetic_0013.jpg,0.0447,1
synthetic_0014.jpg,0.0461,1
synthetic_0015.jpg,0.0480,1
synthetic_0016.jpg,0.0499,1
synthetic_0017.jpg,0.0519,2
synthetic_0018.jpg,0.0538,2
synthetic_0019.jpg,0.0554,2
synthetic_0020.jpg,0.0575,2
synthetic_0021.jpg,0.0591,2
synthetic_0022.jpg,0.0604,2
synthetic_0023.jpg,0.0627,2
synthetic_0024.jpg,0.0642,2
synthetic_0025.jpg,0.0661,2
synthetic_0026.jpg,0.0674,2
synthetic_0027.jpg,0.0693,2
synthetic_0028.jpg,0.0705,2
synthetic_0029.jpg,0.0724,2
synthetic_0030.jpg,0.0743,2
synthetic_0031.jpg,0.0752,2
synthetic_0032.jpg,0.0767,2
synthetic_0033.jpg,0.0781,2
synthetic_0034.jpg,0.0797,2
synthetic_0035.jpg,0.0808,2
synthetic_0036.jpg,0.0823,2
synthetic_0037.jpg,0.0837,2
synthetic_0038.jpg,0.0850,2
synthetic_0039.jpg,0.0860,2
synthetic_0040.jpg,0.0873,2
synthetic_0041.jpg,0.0886,2
synthetic_0042.jpg,0.0899,2
synthetic_0043.jpg,0.0904,2
synthetic_0044.jpg,0.0921,2
synthetic_0045.jpg,0.0927,2
synthetic_0046.jpg,0.0940,2
synthetic_0047.jpg,0.0953,2
synthetic_0048.jpg,0.0961,2
synthetic_0049.jpg,0.0968,2
