layer,expert,kernel_size,mean_weight,is_top_k
model.3,0,3,0.0,0
model.3,1,5,0.3470434844493866,1
model.3,2,7,0.23115138709545135,1
model.3,3,9,0.4218052625656128,1
model.6,0,3,0.0,0
model.6,1,5,0.35189610719680786,1
model.6,2,7,0.30108579993247986,1
model.6,3,9,0.3470180928707123,1
model.9,0,3,0.6759346723556519,1
model.9,1,5,0.19711165130138397,1
model.9,2,7,0.0,0
model.9,3,9,0.12695367634296417,1
model.12,0,3,0.3796672523021698,1
model.12,1,5,0.0,0
model.12,2,7,0.23332199454307556,1
model.12,3,9,0.3870108127593994,1
