epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,1151.73,5.68567,6.45306,4.32342,1.10032,2e-05,0.00015,0,0,5.87128,18.1509,4.21359,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1595.83,4.30906,4.37908,2.94436,0.99991,0.24094,0.08496,0.02016,0.00752,2.8808,2.56581,1.57456,0,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.00999447,0.00333149,0.0399779,0.013326
3,1983.52,2.76432,2.52036,1.4704,1.00055,0.15685,0.1154,0.04097,0.01679,2.49606,2.25807,1.26598,0,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0149823,0.00499409,0.059929,0.0199763
4,2443.44,2.3802,2.13043,1.27077,0.99971,0.12496,0.14106,0.07292,0.03391,2.17319,1.82319,1.17094,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.014967,0.00498902,0.0598682,0.0199561
5,2895.2,2.19405,1.92203,1.17909,0.996,0.24545,0.13757,0.07892,0.03758,2.12899,1.7846,1.1345,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0149415,0.00498048,0.0597658,0.0199219
6,3356.29,2.07512,1.79289,1.13595,0.99652,0.20983,0.16692,0.11131,0.05582,1.90323,1.58968,1.0783,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0149086,0.00496953,0.0596343,0.0198781
7,3808.91,2.00537,1.69325,1.10898,0.99986,0.22471,0.1891,0.13549,0.06979,1.84529,1.48656,1.05675,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.0148685,0.00495616,0.0594739,0.0198246
8,4269.67,1.95443,1.62975,1.08879,0.99992,0.22259,0.21179,0.14071,0.07184,1.81599,1.47217,1.04413,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0148212,0.00494039,0.0592847,0.0197616
9,4722.35,1.9066,1.56593,1.07212,0.99987,0.2344,0.20525,0.13891,0.07198,1.79998,1.43513,1.04447,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0147667,0.00492224,0.0590669,0.019689
10,5183.7,1.88558,1.53166,1.05842,0.99992,0.25801,0.22096,0.16029,0.08372,1.72128,1.37022,1.0191,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0147052,0.00490173,0.0588207,0.0196069
11,5633.73,1.84388,1.49208,1.05192,1.00001,0.28052,0.22057,0.17349,0.09143,1.71702,1.33676,1.02272,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0146366,0.00487886,0.0585464,0.0195155
12,6093.06,1.83325,1.46944,1.03922,0.99996,0.26952,0.22476,0.16334,0.08503,1.72341,1.36365,1.01172,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.014561,0.00485368,0.0582442,0.0194147
13,6547.73,1.82843,1.4544,1.03508,0.99997,0.27643,0.23143,0.17166,0.08893,1.73416,1.35359,1.00452,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0144786,0.0048262,0.0579144,0.0193048
14,7007.69,1.81912,1.44251,1.02457,0.99997,0.29315,0.24615,0.18402,0.0981,1.68567,1.33881,0.99389,0,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0143893,0.00479644,0.0575573,0.0191858
15,7458.98,1.8075,1.43348,1.01997,0.99999,0.27539,0.24096,0.19365,0.10109,1.68472,1.30812,0.98788,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0142933,0.00476445,0.0571734,0.0190578
16,7919.64,1.79274,1.41704,1.01429,1.00003,0.30587,0.23798,0.19348,0.10324,1.67943,1.29997,0.9925,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0141907,0.00473024,0.0567629,0.018921
17,8373.16,1.78059,1.39799,1.00598,0.99995,0.32058,0.24694,0.2062,0.10936,1.63999,1.25848,0.98045,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0140816,0.00469386,0.0563263,0.0187754
18,8833.47,1.75986,1.38076,1.00285,0.99998,0.31422,0.26035,0.20905,0.11149,1.63688,1.25223,0.97343,0,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.013966,0.00465534,0.055864,0.0186213
19,9289.46,1.76079,1.37576,0.99835,1.00001,0.30797,0.26199,0.20778,0.11218,1.6321,1.25529,0.97157,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0138441,0.00461471,0.0553765,0.0184588
20,9739.8,1.74079,1.35857,0.99474,0.99996,0.33242,0.26086,0.21299,0.11518,1.62438,1.24126,0.96789,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0137161,0.00457202,0.0548643,0.0182881
21,10194.8,1.73179,1.3431,0.98816,1,0.30946,0.26279,0.21179,0.11396,1.62025,1.23177,0.96519,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.013582,0.00452732,0.0543278,0.0181093
22,10663.6,1.71575,1.32952,0.98888,1,0.33416,0.26549,0.21608,0.11692,1.60673,1.21952,0.96185,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0134419,0.00448063,0.0537676,0.0179225
23,11148.4,1.71171,1.31986,0.98559,0.99997,0.33485,0.27293,0.22543,0.12241,1.59847,1.20152,0.96302,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0132961,0.00443202,0.0531842,0.0177281
24,11725.4,1.70021,1.31121,0.98289,1.00001,0.37013,0.26,0.22838,0.12319,1.59604,1.20068,0.96006,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0131446,0.00438152,0.0525783,0.0175261
25,12187.4,1.68859,1.29076,0.97982,1.00001,0.33727,0.27292,0.22667,0.12252,1.58698,1.20802,0.9544,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0129876,0.0043292,0.0519504,0.0173168
26,12649.6,1.69393,1.29946,0.97649,0.99996,0.35537,0.27775,0.23634,0.12775,1.57751,1.18411,0.95387,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0128253,0.00427509,0.0513011,0.0171004
27,13110.2,1.6822,1.28232,0.97441,0.99999,0.3681,0.2726,0.23686,0.13018,1.5702,1.17347,0.95333,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0126578,0.00421925,0.050631,0.016877
28,13569.5,1.67161,1.27462,0.97161,1.00005,0.35664,0.28598,0.24038,0.13178,1.55807,1.1727,0.94647,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0124852,0.00416175,0.049941,0.016647
29,14029.5,1.66825,1.2636,0.97079,0.99996,0.37404,0.28635,0.24584,0.13427,1.54861,1.16058,0.94555,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0123079,0.00410262,0.0492315,0.0164105
30,14492.4,1.66328,1.26359,0.96727,1.00002,0.35897,0.29234,0.2489,0.13535,1.54166,1.15264,0.94461,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0121258,0.00404194,0.0485033,0.0161678
31,14954.9,1.64939,1.24628,0.96493,0.99999,0.38206,0.27927,0.24944,0.1366,1.53959,1.14584,0.9428,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0119393,0.00397977,0.0477572,0.0159191
32,15420.3,1.65475,1.25053,0.9685,0.99998,0.38393,0.28747,0.25005,0.13772,1.53713,1.14973,0.94423,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0117485,0.00391616,0.0469939,0.0156646
33,15883.2,1.65099,1.23792,0.96274,1.00001,0.38562,0.2854,0.25646,0.14049,1.52704,1.13336,0.94323,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.0115535,0.00385117,0.0462141,0.0154047
34,16348.1,1.64569,1.23978,0.9606,0.99996,0.38965,0.28826,0.25881,0.14155,1.53127,1.13265,0.94411,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0113546,0.00378488,0.0454185,0.0151395
35,16806.5,1.6433,1.23529,0.96252,1.00002,0.37975,0.29659,0.25766,0.14192,1.52494,1.13193,0.93904,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.011152,0.00371734,0.0446081,0.0148694
36,17274.2,1.63592,1.22605,0.96121,0.99999,0.37889,0.29816,0.26095,0.14457,1.51844,1.12313,0.93788,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0109459,0.00364863,0.0437835,0.0145945
37,17733,1.63766,1.22447,0.95946,0.99999,0.4002,0.2923,0.26536,0.14674,1.51491,1.11709,0.93657,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0107364,0.0035788,0.0429456,0.0143152
38,18196.6,1.63029,1.21368,0.95576,1.00001,0.37908,0.2999,0.2615,0.14539,1.51136,1.12429,0.93593,0,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0105238,0.00350794,0.0420953,0.0140318
39,18658.2,1.61959,1.2052,0.95229,1.00003,0.37254,0.30494,0.26315,0.1456,1.50739,1.11486,0.93318,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0103083,0.00343611,0.0412333,0.0137444
40,19124.2,1.6136,1.1957,0.95395,0.99999,0.39544,0.30753,0.27009,0.1485,1.49804,1.10294,0.93113,0,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0100901,0.00336338,0.0403605,0.0134535
41,19582.8,1.60718,1.19486,0.95244,0.99999,0.38626,0.30323,0.266,0.14781,1.49955,1.10515,0.93212,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.00986945,0.00328982,0.0394778,0.0131593
