epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,1393.93,5.68567,6.45306,4.32342,0.84489,2e-05,0.00015,0,0,5.86887,16.9013,4.21567,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,2095.99,4.32349,4.38814,2.95202,0.99973,0.03026,0.09177,0.02028,0.00742,2.88992,2.55483,1.54393,0,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.00999447,0.00333149,0.0399779,0.013326
3,2534.97,2.75444,2.51676,1.46539,1.00073,0.25272,0.1117,0.03835,0.01568,2.48688,2.34671,1.28472,0,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0149823,0.00499409,0.059929,0.0199763
4,2961.79,2.39205,2.14063,1.27736,0.99288,0.24103,0.13968,0.07182,0.03319,2.15607,1.87394,1.17578,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.014967,0.00498902,0.0598682,0.0199561
5,3379.8,2.2033,1.93463,1.18402,0.99913,0.27976,0.14194,0.08669,0.04153,2.07989,1.72495,1.12123,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0149415,0.00498048,0.0597658,0.0199219
6,3802.71,2.08861,1.80557,1.13967,0.99991,0.18027,0.16998,0.10519,0.05271,1.94016,1.60133,1.08236,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0149086,0.00496953,0.0596343,0.0198781
7,4222.82,2.01651,1.70452,1.11153,0.9999,0.2906,0.18631,0.11733,0.05647,1.93549,1.54469,1.07634,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.0148685,0.00495616,0.0594739,0.0198246
8,4644.55,1.96611,1.64063,1.09187,0.99997,0.21421,0.19818,0.1341,0.06727,1.86107,1.49076,1.05067,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0148212,0.00494039,0.0592847,0.0197616
9,5066.74,1.91317,1.57642,1.07277,0.99996,0.25214,0.20982,0.14774,0.07666,1.78651,1.4178,1.03792,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0147667,0.00492224,0.0590669,0.019689
10,5486.94,1.89397,1.53859,1.05918,0.99994,0.24571,0.21856,0.15315,0.08059,1.76221,1.40941,1.02075,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0147052,0.00490173,0.0588207,0.0196069
11,5910.08,1.84986,1.49368,1.05162,0.99996,0.27516,0.21712,0.17183,0.09102,1.71952,1.34821,1.01709,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0146366,0.00487886,0.0585464,0.0195155
12,6332.3,1.84965,1.48416,1.03847,0.99999,0.26623,0.22741,0.16515,0.08771,1.74816,1.3813,1.00698,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.014561,0.00485368,0.0582442,0.0194147
13,6748.45,1.8386,1.46311,1.03235,0.99996,0.28808,0.22955,0.17601,0.09366,1.75095,1.3543,1.00883,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0144786,0.0048262,0.0579144,0.0193048
14,7169.14,1.82555,1.44834,1.01971,0.99998,0.29225,0.24794,0.18684,0.09953,1.693,1.33052,0.99025,0,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0143893,0.00479644,0.0575573,0.0191858
15,7590.19,1.80915,1.43636,1.016,1.00001,0.29922,0.25108,0.19618,0.10369,1.67979,1.30031,0.98331,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0142933,0.00476445,0.0571734,0.0190578
16,8009.8,1.79157,1.41806,1.01,0.99997,0.32265,0.22962,0.19828,0.10588,1.6846,1.29201,0.98705,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0141907,0.00473024,0.0567629,0.018921
17,8427.49,1.78097,1.39741,1.00272,1.00002,0.3073,0.24974,0.20497,0.11101,1.64687,1.26943,0.97914,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0140816,0.00469386,0.0563263,0.0187754
18,8848.75,1.76037,1.37818,0.99948,0.99995,0.32207,0.25451,0.20974,0.11289,1.64415,1.25802,0.97495,0,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.013966,0.00465534,0.055864,0.0186213
19,9270.66,1.76006,1.3739,0.99531,1.00003,0.32134,0.26834,0.2088,0.11372,1.62996,1.26907,0.96783,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0138441,0.00461471,0.0553765,0.0184588
20,9690,1.7433,1.3564,0.99284,0.99997,0.33124,0.26488,0.21818,0.11712,1.61728,1.24248,0.96574,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0137161,0.00457202,0.0548643,0.0182881
21,10118,1.73013,1.33823,0.98495,0.99997,0.34187,0.26847,0.22395,0.1229,1.61521,1.22791,0.96329,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.013582,0.00452732,0.0543278,0.0181093
22,10539,1.71326,1.32518,0.98548,1.00005,0.34085,0.27084,0.22435,0.12225,1.60138,1.21345,0.96113,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0134419,0.00448063,0.0537676,0.0179225
23,10961.9,1.70874,1.31481,0.9837,0.99999,0.34454,0.2652,0.22682,0.1247,1.5859,1.21051,0.95743,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0132961,0.00443202,0.0531842,0.0177281
24,11381.6,1.69583,1.30598,0.97963,1.00001,0.33766,0.26961,0.23479,0.12763,1.59016,1.19348,0.95598,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0131446,0.00438152,0.0525783,0.0175261
25,11803.1,1.68604,1.28766,0.97705,0.99996,0.3249,0.2684,0.2259,0.12269,1.58153,1.20135,0.9513,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0129876,0.0043292,0.0519504,0.0173168
26,12222.5,1.69319,1.29642,0.97502,1.00003,0.346,0.28151,0.23306,0.12729,1.57586,1.20174,0.95013,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0128253,0.00427509,0.0513011,0.0171004
27,12645.2,1.67965,1.28024,0.97175,0.99997,0.3459,0.27565,0.23582,0.12998,1.56789,1.18285,0.95149,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0126578,0.00421925,0.050631,0.016877
28,13063,1.66679,1.27136,0.9684,1.00001,0.35331,0.27195,0.23543,0.13026,1.556,1.17523,0.94688,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0124852,0.00416175,0.049941,0.016647
29,13483.9,1.66356,1.2613,0.96827,1,0.37796,0.28047,0.24358,0.13279,1.54783,1.1577,0.94411,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0123079,0.00410262,0.0492315,0.0164105
30,13901.6,1.6591,1.26061,0.96432,0.99998,0.37276,0.2797,0.24732,0.13579,1.54036,1.15383,0.94208,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0121258,0.00404194,0.0485033,0.0161678
