epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,779.547,5.68526,6.45168,4.32095,1.08973,0.00019,0.00014,1e-05,0,5.78396,2151.93,11.364,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1180.38,4.30595,4.35189,2.94823,0.99525,0.0153,0.04131,0.00196,0.00047,3.70641,37.2476,2.77512,0,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.00999447,0.00333149,0.0399779,0.013326
3,1557.61,2.77056,2.53269,1.4669,0.99929,0.04953,0.07785,0.0175,0.00552,2.99004,13.0506,1.55133,0,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0149823,0.00499409,0.059929,0.0199763
4,2008.56,2.3881,2.14998,1.27459,0.99882,0.05347,0.05679,0.0169,0.00623,2.94513,7.43585,1.55347,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.014967,0.00498902,0.0598682,0.0199561
5,2468.41,2.20699,1.94577,1.18613,0.99894,0.0112,0.04516,0.00271,0.00084,3.66735,3.9656,1.71616,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0149415,0.00498048,0.0597658,0.0199219
6,2912.41,2.13002,1.85938,1.1581,1.00327,0.03541,0.0589,0.01444,0.00619,2.83869,3.14939,1.45075,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0149086,0.00496953,0.0596343,0.0198781
7,3372.73,2.03472,1.73136,1.11982,0.9999,0.14271,0.0484,0.00795,0.00322,2.90088,3.32808,1.55126,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.0148685,0.00495616,0.0594739,0.0198246
8,3813.69,1.97119,1.66315,1.09519,0.99997,0.05594,0.05979,0.0141,0.00537,2.93108,3.30186,1.52348,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0148212,0.00494039,0.0592847,0.0197616
9,4266.21,1.91958,1.59345,1.07698,0.99995,0.06512,0.05178,0.01235,0.00538,2.90755,3.37635,1.50046,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0147667,0.00492224,0.0590669,0.019689
10,4709.92,1.89531,1.55373,1.06136,0.99999,0.15526,0.04721,0.01541,0.00702,2.82454,3.41811,1.48054,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0147052,0.00490173,0.0588207,0.0196069
11,5159.8,1.8514,1.50709,1.05629,0.99998,0.08124,0.03388,0.01227,0.00534,2.92726,3.43105,1.53823,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0146366,0.00487886,0.0585464,0.0195155
12,5605.27,1.83956,1.48427,1.04058,0.99997,0.08717,0.09738,0.03654,0.01685,2.51121,2.6434,1.26596,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.014561,0.00485368,0.0582442,0.0194147
13,6058.28,1.83498,1.46539,1.03676,1.00001,0.0771,0.06412,0.0196,0.00828,2.72612,3.06277,1.40125,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0144786,0.0048262,0.0579144,0.0193048
14,6502.21,1.82601,1.4514,1.02569,0.99998,0.07322,0.0647,0.02175,0.01022,2.68318,3.08145,1.37626,0,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0143893,0.00479644,0.0575573,0.0191858
15,6951.52,1.80965,1.44075,1.02032,0.99999,0.16762,0.07672,0.02234,0.00941,2.6682,3.11302,1.3621,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0142933,0.00476445,0.0571734,0.0190578
16,7396.05,1.79573,1.42698,1.01322,1.00003,0.07451,0.07112,0.02714,0.0123,2.60828,2.93948,1.30763,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0141907,0.00473024,0.0567629,0.018921
17,7845.7,1.78321,1.4057,1.00533,0.99998,0.06921,0.05538,0.01923,0.00872,2.65587,3.17641,1.35299,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0140816,0.00469386,0.0563263,0.0187754
18,8290.85,1.76153,1.3861,1.00246,0.99995,0.09663,0.09049,0.04077,0.01818,2.44541,2.60276,1.22718,0,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.013966,0.00465534,0.055864,0.0186213
19,8733.79,1.76088,1.37888,0.99808,1.00003,0.06841,0.07649,0.01912,0.00795,2.73457,3.13022,1.35749,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0138441,0.00461471,0.0553765,0.0184588
20,9168.89,1.74407,1.36163,0.99451,1,0.19673,0.04244,0.02091,0.00923,2.75973,2.98854,1.31705,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0137161,0.00457202,0.0548643,0.0182881
21,9615.58,1.73159,1.34193,0.98701,0.99998,0.05688,0.05239,0.01093,0.00386,3.0377,3.23964,1.42177,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.013582,0.00452732,0.0543278,0.0181093
22,10063.7,1.71344,1.32867,0.98758,1.00005,0.07676,0.05941,0.0189,0.00781,2.77057,3.16353,1.35864,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0134419,0.00448063,0.0537676,0.0179225
23,10508.1,1.7093,1.31776,0.98395,0.99998,0.09679,0.11476,0.04616,0.02098,2.35649,2.63938,1.1959,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0132961,0.00443202,0.0531842,0.0177281
24,10955.6,1.69908,1.3103,0.98175,1.00001,0.08657,0.06616,0.02955,0.01295,2.58584,2.74775,1.25885,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0131446,0.00438152,0.0525783,0.0175261
25,11402.8,1.68633,1.28904,0.97839,0.99997,0.2252,0.10449,0.04789,0.02015,2.41315,2.70019,1.1953,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0129876,0.0043292,0.0519504,0.0173168
26,11833.2,1.69277,1.29851,0.97578,1.00001,0.12243,0.09112,0.04236,0.01785,2.46878,2.67226,1.20534,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0128253,0.00427509,0.0513011,0.0171004
27,12228.9,1.68168,1.28132,0.97391,0.99997,0.08377,0.06584,0.02528,0.01083,2.71734,3.03998,1.33148,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0126578,0.00421925,0.050631,0.016877
28,12612,1.66943,1.27456,0.96982,1.00003,0.1121,0.10353,0.03943,0.01618,2.49729,2.75599,1.22089,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0124852,0.00416175,0.049941,0.016647
29,13009.4,1.66434,1.26243,0.96956,1,0.08837,0.08524,0.02524,0.00997,2.63982,2.86671,1.29691,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0123079,0.00410262,0.0492315,0.0164105
30,13460,1.6615,1.26127,0.96654,0.99998,0.13224,0.08001,0.03641,0.01497,2.60191,2.73175,1.23362,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0121258,0.00404194,0.0485033,0.0161678
31,13919.8,1.64522,1.24421,0.96299,0.99999,0.1454,0.1107,0.05034,0.02124,2.39421,2.73096,1.19174,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0119393,0.00397977,0.0477572,0.0159191
32,14366.5,1.65113,1.2486,0.96673,1,0.18266,0.0854,0.04598,0.01971,2.47322,2.79323,1.21074,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0117485,0.00391616,0.0469939,0.0156646
33,14814.7,1.64886,1.23826,0.96136,1.00002,0.09463,0.07315,0.03105,0.01272,2.5878,2.86695,1.25891,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.0115535,0.00385117,0.0462141,0.0154047
34,15261.6,1.64253,1.23654,0.95867,1.00001,0.12775,0.08983,0.0427,0.01778,2.5223,2.72121,1.24186,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0113546,0.00378488,0.0454185,0.0151395
35,15709.2,1.64147,1.23399,0.96122,0.99997,0.09136,0.06665,0.02459,0.00982,2.7137,3.07563,1.30751,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.011152,0.00371734,0.0446081,0.0148694
36,16146.5,1.63348,1.22405,0.96039,1.00003,0.04527,0.11323,0.01519,0.0058,2.68124,3.22854,1.2908,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0109459,0.00364863,0.0437835,0.0145945
37,16588.6,1.63357,1.22116,0.95741,1,0.08854,0.07356,0.02452,0.01025,2.67776,2.94126,1.32899,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0107364,0.0035788,0.0429456,0.0143152
38,17030.8,1.62804,1.21261,0.95429,1.00001,0.08291,0.09998,0.03058,0.01269,2.66492,3.02244,1.26097,0,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0105238,0.00350794,0.0420953,0.0140318
39,17475.8,1.61672,1.20247,0.95142,0.99995,0.1139,0.10115,0.04127,0.01716,2.46566,2.60017,1.2212,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0103083,0.00343611,0.0412333,0.0137444
40,17869.7,1.61028,1.19552,0.95205,1.00001,0.09073,0.08754,0.03136,0.01316,2.57875,2.97907,1.27261,0,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0100901,0.00336338,0.0403605,0.0134535
41,18285.4,1.60493,1.19336,0.95059,1,0.08129,0.07923,0.028,0.01209,2.64316,2.89684,1.29996,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.00986945,0.00328982,0.0394778,0.0131593
