epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,618.554,5.59657,6.04912,4.30729,0,1e-05,0,0,5.8725,6.52226,4.24817,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00499382,0.00166461,0.0199753,0.00665843
2,950.056,4.8135,4.83145,3.45512,0.01878,0.06299,0.0091,0.00246,3.35793,2.77549,1.83292,0.0199828,0.00666092,0.0199828,0.00666092,0.0199828,0.00666092,0.0199828,0.00666092,0.00999138,0.00333046,0.0399655,0.0133218
3,1264.28,2.7734,2.49813,1.48445,0.16581,0.11083,0.04146,0.01944,2.36284,2.14437,1.29612,0.0299583,0.00998612,0.0299583,0.00998612,0.0299583,0.00998612,0.0299583,0.00998612,0.0149792,0.00499306,0.0599167,0.0199722
4,1665.63,2.34188,2.05956,1.25055,0.23323,0.14338,0.0769,0.03643,2.11658,1.82301,1.15681,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.014967,0.00498902,0.0598682,0.0199561
5,2066.75,2.17738,1.8579,1.16974,0.26878,0.15555,0.09618,0.04589,2.00012,1.62411,1.11636,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0149415,0.00498048,0.0597658,0.0199219
6,2461.82,2.05507,1.72239,1.12471,0.19807,0.18369,0.11395,0.05509,1.92253,1.55856,1.07793,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0149086,0.00496953,0.0596343,0.0198781
7,2857.13,1.9861,1.63814,1.10112,0.21764,0.18681,0.1246,0.0612,1.87935,1.53017,1.05842,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.0148685,0.00495616,0.0594739,0.0198246
8,3253,1.92595,1.56349,1.08231,0.22131,0.21109,0.13862,0.0688,1.81582,1.45054,1.03841,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0148212,0.00494039,0.0592847,0.0197616
9,3648.05,1.87321,1.50266,1.06378,0.28365,0.21315,0.13978,0.07226,1.79415,1.4419,1.03157,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0147667,0.00492224,0.0590669,0.019689
10,4044.85,1.8578,1.47259,1.04803,0.24871,0.21955,0.15691,0.08203,1.74563,1.36764,1.01884,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0147052,0.00490173,0.0588207,0.0196069
