layer,expert,active_tokens,activation_ratio,mean_weight,topk_active_tokens,topk_activation_ratio
model.14.m.0,LocalConvTransformer,400,1.0,0.5888285636901855,400,0.5
model.14.m.0,WindowTransformer,0,0.0,0.21923917531967163,216,0.27
model.14.m.0,DeformableTransformer,0,0.0,0.19193224608898163,184,0.23
model.14.m.0.__summary__,ROUTING_ENTROPY,0,0.0,0.6155622601509094,0,0.0
model.14.m.1,LocalConvTransformer,373,0.9325,0.5016331672668457,400,0.5
model.14.m.1,WindowTransformer,0,0.0,0.0,0,0.0
model.14.m.1,DeformableTransformer,27,0.0675,0.4983667731285095,400,0.5
model.14.m.1.__summary__,ROUTING_ENTROPY,0,0.0,0.6309233903884888,0,0.0
model.20.m.0,LocalConvTransformer,276,0.69,0.3732222020626068,297,0.37125
model.20.m.0,WindowTransformer,77,0.1925,0.42829105257987976,344,0.43
model.20.m.0,DeformableTransformer,47,0.1175,0.19848674535751343,159,0.19875
model.20.m.0.__summary__,ROUTING_ENTROPY,0,0.0,0.6309129595756531,0,0.0
model.20.m.1,LocalConvTransformer,383,0.9575,0.4995960295200348,399,0.49875
model.20.m.1,WindowTransformer,15,0.0375,0.2421853393316269,194,0.2425
model.20.m.1,DeformableTransformer,2,0.005,0.25821858644485474,207,0.25875
model.20.m.1.__summary__,ROUTING_ENTROPY,0,0.0,0.6309282183647156,0,0.0
model.23.m.0,LocalConvTransformer,50,0.5,0.3900796175003052,78,0.39
model.23.m.0,WindowTransformer,10,0.1,0.21990017592906952,44,0.22
model.23.m.0,DeformableTransformer,40,0.4,0.3900202214717865,78,0.39
model.23.m.0.__summary__,ROUTING_ENTROPY,0,0.0,0.630929708480835,0,0.0
model.23.m.1,LocalConvTransformer,1,0.01,0.12487325072288513,25,0.125
model.23.m.1,WindowTransformer,43,0.43,0.4749501943588257,95,0.475
model.23.m.1,DeformableTransformer,56,0.56,0.4001765847206116,80,0.4
model.23.m.1.__summary__,ROUTING_ENTROPY,0,0.0,0.6309295296669006,0,0.0
