expert,expert_id,image_id,layer,mean_weight,scene,top1_share,top1_tokens,total_tokens
LocalConvTransformer,0,sparse_small_0,model.14.m.0,0.500000,sparse_small,1.000000,1600,1600
WindowTransformer,1,sparse_small_0,model.14.m.0,0.500000,sparse_small,0.000000,0,1600
DeformableTransformer,2,sparse_small_0,model.14.m.0,0.000000,sparse_small,0.000000,0,1600
LocalConvTransformer,0,sparse_small_0,model.14.m.1,0.500000,sparse_small,1.000000,1600,1600
WindowTransformer,1,sparse_small_0,model.14.m.1,0.500000,sparse_small,0.000000,0,1600
DeformableTransformer,2,sparse_small_0,model.14.m.1,0.000000,sparse_small,0.000000,0,1600
LocalConvTransformer,0,sparse_small_0,model.20.m.0,0.500000,sparse_small,1.000000,1600,1600
WindowTransformer,1,sparse_small_0,model.20.m.0,0.500000,sparse_small,0.000000,0,1600
DeformableTransformer,2,sparse_small_0,model.20.m.0,0.000000,sparse_small,0.000000,0,1600
LocalConvTransformer,0,sparse_small_0,model.20.m.1,0.500000,sparse_small,1.000000,1600,1600
WindowTransformer,1,sparse_small_0,model.20.m.1,0.500000,sparse_small,0.000000,0,1600
DeformableTransformer,2,sparse_small_0,model.20.m.1,0.000000,sparse_small,0.000000,0,1600
LocalConvTransformer,0,sparse_small_0,model.23.m.0,0.500000,sparse_small,1.000000,400,400
WindowTransformer,1,sparse_small_0,model.23.m.0,0.500000,sparse_small,0.000000,0,400
DeformableTransformer,2,sparse_small_0,model.23.m.0,0.000000,sparse_small,0.000000,0,400
LocalConvTransformer,0,sparse_small_0,model.23.m.1,0.500000,sparse_small,1.000000,400,400
WindowTransformer,1,sparse_small_0,model.23.m.1,0.500000,sparse_small,0.000000,0,400
DeformableTransformer,2,sparse_small_0,model.23.m.1,0.000000,sparse_small,0.000000,0,400
LocalConvTransformer,0,dense_small_0,model.14.m.0,0.500000,dense_small,1.000000,1600,1600
WindowTransformer,1,dense_small_0,model.14.m.0,0.500000,dense_small,0.000000,0,1600
DeformableTransformer,2,dense_small_0,model.14.m.0,0.000000,dense_small,0.000000,0,1600
LocalConvTransformer,0,dense_small_0,model.14.m.1,0.500000,dense_small,1.000000,1600,1600
