layer,expert,active_tokens,activation_ratio,mean_weight,topk_active_tokens,topk_activation_ratio
model.13.m.0,LocalConvTransformer,138,0.345,0.29196640849113464,229,0.28625
model.13.m.0,WindowTransformer,262,0.655,0.5009675025939941,400,0.5
model.13.m.0,DeformableTransformer,0,0.0,0.20706604421138763,171,0.21375
model.13.m.0.__summary__,ROUTING_ENTROPY,0,0.0,0.6301648020744324,0,0.0
model.13.m.1,LocalConvTransformer,188,0.47,0.26715680956840515,212,0.265
model.13.m.1,WindowTransformer,139,0.3475,0.3915499448776245,314,0.3925
model.13.m.1,DeformableTransformer,73,0.1825,0.34129324555397034,274,0.3425
model.13.m.1.__summary__,ROUTING_ENTROPY,0,0.0,0.6308980584144592,0,0.0
model.19.m.0,LocalConvTransformer,319,0.7975,0.489612340927124,388,0.485
model.19.m.0,WindowTransformer,81,0.2025,0.3915373682975769,315,0.39375
model.19.m.0,DeformableTransformer,0,0.0,0.11885029822587967,97,0.12125
model.19.m.0.__summary__,ROUTING_ENTROPY,0,0.0,0.630837619304657,0,0.0
model.19.m.1,LocalConvTransformer,287,0.7175,0.4094453454017639,327,0.40875
model.19.m.1,WindowTransformer,60,0.15,0.2535395324230194,203,0.25375
model.19.m.1,DeformableTransformer,53,0.1325,0.3370150625705719,270,0.3375
model.19.m.1.__summary__,ROUTING_ENTROPY,0,0.0,0.6309277415275574,0,0.0
model.22.m.0,LocalConvTransformer,0,0.0,0.004986833315342665,1,0.005
model.22.m.0,WindowTransformer,65,0.65,0.49517104029655457,99,0.495
model.22.m.0,DeformableTransformer,35,0.35,0.4998421370983124,100,0.5
model.22.m.0.__summary__,ROUTING_ENTROPY,0,0.0,0.6309292912483215,0,0.0
model.22.m.1,LocalConvTransformer,26,0.26,0.2699774503707886,54,0.27
model.22.m.1,WindowTransformer,16,0.16,0.2849060297012329,57,0.285
model.22.m.1,DeformableTransformer,58,0.58,0.4451165795326233,89,0.445
model.22.m.1.__summary__,ROUTING_ENTROPY,0,0.0,0.6309297680854797,0,0.0
