layer,expert,active_tokens,activation_ratio,mean_weight
model.14.m.0,LocalConvTransformer,400,1.0,0.5890533328056335
model.14.m.0,WindowTransformer,0,0.0,0.22007903456687927
model.14.m.0,DeformableTransformer,0,0.0,0.19086764752864838
model.14.m.1,LocalConvTransformer,374,0.935,0.5004163384437561
model.14.m.1,WindowTransformer,0,0.0,0.001248130458407104
model.14.m.1,DeformableTransformer,26,0.065,0.4983355402946472
model.20.m.0,LocalConvTransformer,271,0.6775,0.37177836894989014
model.20.m.0,WindowTransformer,79,0.1975,0.4446890652179718
model.20.m.0,DeformableTransformer,50,0.125,0.18353258073329926
model.20.m.1,LocalConvTransformer,380,0.95,0.4983501732349396
model.20.m.1,WindowTransformer,19,0.0475,0.23470406234264374
model.20.m.1,DeformableTransformer,1,0.0025,0.2669457197189331
model.23.m.0,LocalConvTransformer,60,0.6,0.43014276027679443
model.23.m.0,WindowTransformer,7,0.07,0.1799241006374359
model.23.m.0,DeformableTransformer,33,0.33,0.38993313908576965
model.23.m.1,LocalConvTransformer,0,0.0,0.14986170828342438
model.23.m.1,WindowTransformer,44,0.44,0.46494659781455994
model.23.m.1,DeformableTransformer,56,0.56,0.3851916790008545
