layer,expert,active_tokens,activation_ratio,mean_weight
model.13.m.0,LocalConvTransformer,167,0.4175,0.33390727639198303
model.13.m.0,WindowTransformer,233,0.5825,0.4991682767868042
model.13.m.0,DeformableTransformer,0,0.0,0.16692443192005157
model.13.m.1,LocalConvTransformer,322,0.805,0.41786742210388184
model.13.m.1,WindowTransformer,19,0.0475,0.2243625819683075
model.13.m.1,DeformableTransformer,59,0.1475,0.35776999592781067
model.19.m.0,LocalConvTransformer,282,0.705,0.4694828689098358
model.19.m.0,WindowTransformer,118,0.295,0.42484110593795776
model.19.m.0,DeformableTransformer,0,0.0,0.10567602515220642
model.19.m.1,LocalConvTransformer,286,0.715,0.4018884599208832
model.19.m.1,WindowTransformer,46,0.115,0.23231682181358337
model.19.m.1,DeformableTransformer,68,0.17,0.36579471826553345
model.22.m.0,LocalConvTransformer,0,0.0,0.0
model.22.m.0,WindowTransformer,68,0.68,0.5001912713050842
model.22.m.0,DeformableTransformer,32,0.32,0.49980872869491577
model.22.m.1,LocalConvTransformer,13,0.13,0.17998333275318146
model.22.m.1,WindowTransformer,38,0.38,0.3849875330924988
model.22.m.1,DeformableTransformer,49,0.49,0.43502914905548096
