epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,628.128,5.21922,5.66666,4.04661,0.1796,0.70764,0.01377,0.00351,0.00092,3.74943,3.40893,2.34766,0,0.00332921,0.00332921,0.00332921,0.00166461
2,1243.44,3.18705,2.99286,1.87443,0.08194,0.1663,0.06908,0.04162,0.01639,2.681,2.46073,1.46587,0,0.00659659,0.00659659,0.00659659,0.00329829
3,3197.81,2.51923,2.36739,1.41624,0.04914,0.17982,0.12235,0.06956,0.03157,2.18987,2.05901,1.25913,0,0.00979796,0.00979796,0.00979796,0.00489898
4,3790.64,2.2558,2.11328,1.30395,0.03212,0.25218,0.12492,0.09256,0.04516,2.02439,1.72681,1.20342,0,0.009703,0.009703,0.009703,0.0048515
5,4432.31,2.08745,1.92356,1.23117,0.0225,0.35223,0.13166,0.1008,0.04896,1.94152,1.71141,1.1497,0,0.009604,0.009604,0.009604,0.004802
6,5161.73,1.99747,1.80833,1.19245,0.01688,0.2024,0.16281,0.12351,0.06384,1.82147,1.53437,1.11932,0,0.009505,0.009505,0.009505,0.0047525
7,5775.97,1.93854,1.73018,1.16901,0.01351,0.28259,0.17199,0.13101,0.0671,1.77811,1.4905,1.10511,0,0.009406,0.009406,0.009406,0.004703
8,6357.68,1.8917,1.67728,1.15267,0.01148,0.22605,0.18137,0.14463,0.07484,1.71893,1.42318,1.08448,0,0.009307,0.009307,0.009307,0.0046535
9,7005.39,1.8497,1.62172,1.13667,0.01034,0.21442,0.17861,0.15208,0.07928,1.70034,1.40303,1.07506,0,0.009208,0.009208,0.009208,0.004604
10,7642.79,1.81767,1.57751,1.12539,0.00982,0.23062,0.1846,0.15674,0.0819,1.69673,1.39808,1.07324,0,0.009109,0.009109,0.009109,0.0045545
11,8232.79,1.79521,1.54345,1.11654,0.00982,0.24058,0.20039,0.16366,0.08626,1.6571,1.35781,1.05738,0,0.00901,0.00901,0.00901,0.004505
12,8811.48,1.76926,1.52363,1.11312,0.00982,0.24276,0.20272,0.17047,0.08994,1.63919,1.32186,1.05558,0,0.008911,0.008911,0.008911,0.0044555
13,9157.62,1.74767,1.48151,1.10129,0.00982,0.2692,0.20764,0.17623,0.09358,1.62011,1.31521,1.04972,0,0.008812,0.008812,0.008812,0.004406
14,9501.37,1.72867,1.45679,1.09703,0.00982,0.28491,0.21072,0.18495,0.10002,1.59882,1.29216,1.04986,0,0.008713,0.008713,0.008713,0.0043565
15,9845.14,1.72108,1.44773,1.09375,0.00982,0.26403,0.21706,0.18464,0.09968,1.59281,1.27044,1.04324,0,0.008614,0.008614,0.008614,0.004307
16,10194.3,1.70682,1.43172,1.09121,0.00982,0.27814,0.21427,0.18848,0.09967,1.59917,1.26715,1.04278,0,0.008515,0.008515,0.008515,0.0042575
17,10549.4,1.69844,1.4129,1.08528,0.00982,0.29365,0.22535,0.2017,0.10885,1.56176,1.23251,1.03109,0,0.008416,0.008416,0.008416,0.004208
18,10891.4,1.67508,1.38833,1.07733,0.00982,0.27808,0.22199,0.2013,0.10717,1.55009,1.22866,1.02882,0,0.008317,0.008317,0.008317,0.0041585
19,11234.4,1.66389,1.37453,1.07362,0.00982,0.29853,0.23481,0.20843,0.11276,1.54087,1.20888,1.02735,0,0.008218,0.008218,0.008218,0.004109
20,11578.9,1.65602,1.36228,1.07255,0.00982,0.29736,0.23189,0.20469,0.11233,1.54035,1.22253,1.02246,0,0.008119,0.008119,0.008119,0.0040595
21,12086.6,1.64289,1.35227,1.06864,0.00982,0.30173,0.23772,0.20895,0.11333,1.53619,1.19957,1.02179,0,0.00802,0.00802,0.00802,0.00401
22,12703.5,1.63462,1.33191,1.06583,0.00982,0.41236,0.22779,0.21366,0.11639,1.52654,1.19038,1.01851,0,0.007921,0.007921,0.007921,0.0039605
23,13352.9,1.63375,1.32791,1.06346,0.00982,0.32201,0.23432,0.22063,0.12147,1.50982,1.17112,1.0157,0,0.007822,0.007822,0.007822,0.003911
24,13999.1,1.61085,1.30853,1.05928,0.00982,0.30924,0.24418,0.2213,0.12117,1.50153,1.16571,1.01138,0,0.007723,0.007723,0.007723,0.0038615
25,14575.6,1.60269,1.29867,1.05448,0.00982,0.30551,0.23701,0.2209,0.12233,1.49352,1.16044,1.00854,0,0.007624,0.007624,0.007624,0.003812
26,14923.5,1.6002,1.29683,1.05134,0.00982,0.30357,0.246,0.22344,0.12362,1.49246,1.16699,1.00666,0,0.007525,0.007525,0.007525,0.0037625
27,15271.3,1.59551,1.28448,1.05369,0.00982,0.31721,0.24832,0.2283,0.12579,1.48499,1.15376,1.00708,0,0.007426,0.007426,0.007426,0.003713
28,15684.6,1.58695,1.27939,1.04672,0.00982,0.32237,0.24445,0.23197,0.1274,1.47584,1.14039,1.00562,0,0.007327,0.007327,0.007327,0.0036635
29,16124.1,1.58785,1.27687,1.04779,0.00982,0.3328,0.25125,0.23697,0.13012,1.46892,1.13722,1.00247,0,0.007228,0.007228,0.007228,0.003614
30,16562.3,1.57561,1.26956,1.04546,0.00982,0.33635,0.25614,0.23804,0.13106,1.46239,1.12232,1.00092,0,0.007129,0.007129,0.007129,0.0035645
31,16997.5,1.56834,1.25258,1.0404,0.00982,0.3364,0.25476,0.24126,0.13378,1.46156,1.12135,1.00265,0,0.00703,0.00703,0.00703,0.003515
32,17436.8,1.56936,1.24744,1.0384,0.00982,0.33966,0.25922,0.24468,0.13571,1.46002,1.11251,1.00105,0,0.006931,0.006931,0.006931,0.0034655
33,17887,1.5541,1.2378,1.03966,0.00982,0.35358,0.25523,0.24712,0.13794,1.44521,1.11156,0.99529,0,0.006832,0.006832,0.006832,0.003416
34,18333,1.55055,1.23237,1.03604,0.00982,0.35093,0.26409,0.24729,0.13677,1.44266,1.10072,0.99382,0,0.006733,0.006733,0.006733,0.0033665
35,18768.8,1.55182,1.2301,1.03571,0.00982,0.3336,0.26464,0.24915,0.13778,1.44418,1.1044,0.99564,0,0.006634,0.006634,0.006634,0.003317
36,19203.3,1.54386,1.22203,1.03429,0.00982,0.34467,0.26355,0.24927,0.13808,1.43819,1.09568,0.99251,0,0.006535,0.006535,0.006535,0.0032675
37,19661,1.5429,1.21548,1.03507,0.00982,0.36039,0.26872,0.25511,0.14251,1.42955,1.08638,0.98963,0,0.006436,0.006436,0.006436,0.003218
38,20113.4,1.53716,1.21763,1.03392,0.00982,0.35875,0.27126,0.25417,0.14233,1.43326,1.08533,0.98916,0,0.006337,0.006337,0.006337,0.0031685
39,20556.3,1.53517,1.20907,1.03271,0.00982,0.36208,0.27356,0.25867,0.14492,1.42289,1.08058,0.98829,0,0.006238,0.006238,0.006238,0.003119
40,21033.4,1.53185,1.20114,1.02739,0.00982,0.35007,0.27318,0.25861,0.14431,1.42436,1.0765,0.98781,0,0.006139,0.006139,0.006139,0.0030695
41,21510,1.51896,1.18836,1.02776,0.00982,0.35272,0.27199,0.25839,0.14477,1.42118,1.07394,0.98683,0,0.00604,0.00604,0.00604,0.00302
42,21964.4,1.5177,1.18773,1.02557,0.00982,0.35906,0.27864,0.25961,0.1447,1.4152,1.06717,0.98545,0,0.005941,0.005941,0.005941,0.0029705
43,22404.6,1.51718,1.18967,1.02747,0.00982,0.36073,0.27665,0.26307,0.14759,1.41124,1.06687,0.98522,0,0.005842,0.005842,0.005842,0.002921
44,22852.1,1.51153,1.17808,1.02546,0.00982,0.35511,0.27389,0.26183,0.14608,1.41618,1.06736,0.9859,0,0.005743,0.005743,0.005743,0.0028715
45,23311,1.50556,1.17215,1.0211,0.00982,0.36396,0.27865,0.26558,0.14843,1.41154,1.05937,0.98377,0,0.005644,0.005644,0.005644,0.002822
46,23761.3,1.51702,1.18002,1.02183,0.00982,0.36467,0.28083,0.2657,0.14843,1.40569,1.05216,0.98184,0,0.005545,0.005545,0.005545,0.0027725
47,24225.4,1.49458,1.16137,1.01754,0.00982,0.36336,0.28079,0.26721,0.14849,1.40412,1.055,0.98319,0,0.005446,0.005446,0.005446,0.002723
48,24668.5,1.49797,1.1631,1.02108,0.00982,0.36593,0.2797,0.26866,0.1495,1.39972,1.04912,0.98132,0,0.005347,0.005347,0.005347,0.0026735
49,25145,1.48685,1.15506,1.01695,0.00982,0.37566,0.28847,0.27383,0.15264,1.3977,1.04461,0.9802,0,0.005248,0.005248,0.005248,0.002624
