epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,2837.34,5.14563,5.55102,4.00168,0.32147,0.50683,0.00741,0.00273,0.00068,3.89444,3.38713,2.59029,0,0.00332921,0.00332921,0.00332921,0.00166461
2,3605.79,3.2236,3.00113,1.8989,0.1646,0.04464,0.10835,0.04803,0.01857,2.73512,2.28839,1.45527,0,0.00659659,0.00659659,0.00659659,0.00329829
3,4071.59,2.51304,2.32684,1.41085,0.09874,0.09394,0.11038,0.07277,0.03268,2.22526,1.89777,1.26903,0,0.00979796,0.00979796,0.00979796,0.00489898
4,4539.16,2.26005,2.0954,1.30531,0.06429,0.22509,0.13341,0.09375,0.04519,2.01302,1.75409,1.18528,0,0.009703,0.009703,0.009703,0.0048515
5,5007.82,2.10119,1.91783,1.23447,0.04501,0.16301,0.14434,0.10887,0.05278,1.93774,1.65589,1.15078,0,0.009604,0.009604,0.009604,0.004802
6,5478.43,2.00963,1.80337,1.19537,0.03376,0.20159,0.15625,0.12263,0.06233,1.83261,1.53793,1.11958,0,0.009505,0.009505,0.009505,0.0047525
7,5966.94,1.95377,1.73398,1.17533,0.02701,0.1895,0.17861,0.1303,0.06492,1.78705,1.51921,1.10678,0,0.009406,0.009406,0.009406,0.004703
8,6434.9,1.90779,1.67566,1.15877,0.02296,0.31174,0.17515,0.14318,0.07438,1.74932,1.44057,1.09368,0,0.009307,0.009307,0.009307,0.0046535
9,6902.37,1.86564,1.62329,1.14329,0.02067,0.23326,0.18502,0.15188,0.079,1.68921,1.39535,1.07255,0,0.009208,0.009208,0.009208,0.004604
10,7367.43,1.82902,1.57767,1.13032,0.01963,0.23252,0.19093,0.15521,0.08058,1.71335,1.40735,1.07688,0,0.009109,0.009109,0.009109,0.0045545
11,7832.71,1.80777,1.54189,1.1211,0.01963,0.23585,0.20212,0.16025,0.08446,1.682,1.36577,1.06649,0,0.00901,0.00901,0.00901,0.004505
12,8277.11,1.77816,1.51757,1.11634,0.01963,0.24295,0.19845,0.16758,0.08822,1.64732,1.31894,1.06148,0,0.008911,0.008911,0.008911,0.0044555
13,8728.46,1.7542,1.48054,1.10444,0.01963,0.25987,0.20734,0.17292,0.09322,1.62972,1.31623,1.05638,0,0.008812,0.008812,0.008812,0.004406
14,9183.23,1.73305,1.45414,1.09964,0.01963,0.27031,0.21674,0.17865,0.0977,1.60873,1.29997,1.04512,0,0.008713,0.008713,0.008713,0.0043565
15,9642.34,1.72856,1.44911,1.09746,0.01964,0.26516,0.2099,0.18049,0.09867,1.61992,1.27918,1.05571,0,0.008614,0.008614,0.008614,0.004307
16,10096.9,1.71099,1.4261,1.09415,0.01963,0.2771,0.22424,0.19162,0.10221,1.61024,1.26239,1.04318,0,0.008515,0.008515,0.008515,0.0042575
17,10553.5,1.70354,1.40927,1.08743,0.01964,0.38561,0.22086,0.20016,0.10808,1.57019,1.23943,1.04018,0,0.008416,0.008416,0.008416,0.004208
18,11021,1.68142,1.38595,1.07954,0.01963,0.28684,0.23219,0.20183,0.10883,1.55518,1.23103,1.03062,0,0.008317,0.008317,0.008317,0.0041585
19,11489.3,1.66839,1.3724,1.07603,0.01964,0.27879,0.2295,0.20037,0.10807,1.55794,1.2232,1.03067,0,0.008218,0.008218,0.008218,0.004109
20,11950.4,1.6588,1.35756,1.07363,0.01964,0.30593,0.2313,0.20642,0.11355,1.5499,1.21823,1.02392,0,0.008119,0.008119,0.008119,0.0040595
21,514.377,1.65166,1.35103,1.06905,0.02084,0.32494,0.23654,0.21728,0.11932,1.52936,1.18723,1.02347,0,0.00802,0.00802,0.00802,0.00401
22,990.854,1.64215,1.34641,1.0734,0.01965,0.31791,0.23963,0.21548,0.11829,1.52501,1.19251,1.02076,0,0.007921,0.007921,0.007921,0.0039605
23,1473.85,1.63713,1.32193,1.0618,0.01964,0.30947,0.24594,0.22261,0.12203,1.51366,1.17076,1.01516,0,0.007822,0.007822,0.007822,0.003911
24,1954.69,1.63186,1.32621,1.06491,0.01963,0.32731,0.24097,0.2226,0.12253,1.51015,1.1726,1.01555,0,0.007723,0.007723,0.007723,0.0038615
25,2440.44,1.61025,1.29554,1.0576,0.01963,0.33048,0.24663,0.22589,0.12352,1.50742,1.15897,1.01317,0,0.007624,0.007624,0.007624,0.003812
26,2938.84,1.60629,1.29343,1.05513,0.01964,0.32152,0.25224,0.22909,0.12598,1.4962,1.14994,1.00939,0,0.007525,0.007525,0.007525,0.0037625
27,3435.26,1.60268,1.28718,1.05398,0.01963,0.32895,0.25315,0.23454,0.12898,1.49156,1.15077,1.01081,0,0.007426,0.007426,0.007426,0.003713
28,3922.42,1.59715,1.28378,1.05242,0.01964,0.32897,0.25049,0.23491,0.1288,1.49166,1.13648,1.01078,0,0.007327,0.007327,0.007327,0.0036635
29,4398.4,1.58858,1.26977,1.04928,0.01963,0.33735,0.25172,0.23965,0.13266,1.47886,1.1308,1.00559,0,0.007228,0.007228,0.007228,0.003614
30,5135.72,1.58163,1.26109,1.04655,0.01964,0.32025,0.25747,0.23661,0.13088,1.48135,1.13362,1.00369,0,0.007129,0.007129,0.007129,0.0035645
31,5706.53,1.57931,1.25312,1.04588,0.01963,0.3323,0.26455,0.24315,0.13454,1.46681,1.12944,1.00088,0,0.00703,0.00703,0.00703,0.003515
32,6199.95,1.5679,1.25309,1.04558,0.01964,0.36142,0.25657,0.24472,0.13526,1.47441,1.11409,1.00562,0,0.006931,0.006931,0.006931,0.0034655
33,6690.39,1.56195,1.23622,1.03985,0.01963,0.33821,0.25861,0.2412,0.13437,1.46329,1.11705,0.99919,0,0.006832,0.006832,0.006832,0.003416
34,7219.58,1.55237,1.22838,1.03886,0.01964,0.33231,0.26424,0.24573,0.13641,1.45831,1.11382,0.99947,0,0.006733,0.006733,0.006733,0.0033665
35,7709.48,1.55947,1.23178,1.04019,0.01963,0.33422,0.26528,0.24779,0.13788,1.45774,1.10311,1.00058,0,0.006634,0.006634,0.006634,0.003317
36,8183.39,1.55455,1.22755,1.04068,0.01964,0.34421,0.26991,0.25095,0.13981,1.45494,1.09934,0.99538,0,0.006535,0.006535,0.006535,0.0032675
37,8655.21,1.5543,1.22014,1.03804,0.01963,0.35838,0.26573,0.25422,0.14065,1.44669,1.08731,0.99465,0,0.006436,0.006436,0.006436,0.003218
38,9120.57,1.54032,1.20972,1.03284,0.01963,0.34585,0.27626,0.25651,0.14302,1.43827,1.0887,0.9928,0,0.006337,0.006337,0.006337,0.0031685
39,9581.58,1.53654,1.20814,1.03229,0.01964,0.35353,0.27166,0.25675,0.14374,1.43322,1.08301,0.99308,0,0.006238,0.006238,0.006238,0.003119
40,10048.7,1.53285,1.19842,1.03168,0.01964,0.35693,0.27001,0.2578,0.14421,1.43518,1.08292,0.99088,0,0.006139,0.006139,0.006139,0.0030695
41,10530.4,1.53089,1.20257,1.03212,0.01963,0.34953,0.26996,0.25657,0.14269,1.43893,1.08412,0.99173,0,0.00604,0.00604,0.00604,0.00302
42,10994.6,1.52746,1.1922,1.03112,0.01964,0.35265,0.27392,0.25813,0.14427,1.4305,1.0771,0.99006,0,0.005941,0.005941,0.005941,0.0029705
43,11467.1,1.53222,1.19359,1.03026,0.01964,0.36305,0.27427,0.26259,0.14704,1.42289,1.06657,0.98705,0,0.005842,0.005842,0.005842,0.002921
44,11932.9,1.5157,1.18335,1.02942,0.01964,0.34869,0.28016,0.26371,0.14881,1.41569,1.0683,0.98598,0,0.005743,0.005743,0.005743,0.0028715
45,12393.9,1.51336,1.17549,1.02583,0.01964,0.3836,0.2737,0.26416,0.14939,1.42056,1.06422,0.98697,0,0.005644,0.005644,0.005644,0.002822
46,12862.8,1.5127,1.17511,1.02294,0.01964,0.35799,0.27613,0.2626,0.14785,1.41654,1.06211,0.98447,0,0.005545,0.005545,0.005545,0.0027725
47,13347.3,1.5104,1.17147,1.02601,0.01964,0.35944,0.28234,0.26703,0.1499,1.41163,1.05846,0.9833,0,0.005446,0.005446,0.005446,0.002723
48,13831.9,1.50799,1.16932,1.02127,0.01964,0.36725,0.28037,0.26876,0.15263,1.40492,1.05052,0.98191,0,0.005347,0.005347,0.005347,0.0026735
49,14315.8,1.50991,1.17005,1.02307,0.01964,0.36379,0.28154,0.26785,0.15198,1.40317,1.0521,0.98215,0,0.005248,0.005248,0.005248,0.002624
50,14782.3,1.49902,1.16636,1.02125,0.01964,0.37418,0.27831,0.26967,0.15334,1.40123,1.0473,0.98199,0,0.005149,0.005149,0.005149,0.0025745
51,15252.3,1.49482,1.15541,1.01739,0.01964,0.37539,0.28375,0.27219,0.15408,1.40138,1.04311,0.98264,0,0.00505,0.00505,0.00505,0.002525
52,15723.7,1.49737,1.15142,1.01649,0.01964,0.37212,0.28407,0.27412,0.15473,1.39948,1.04048,0.98155,0,0.004951,0.004951,0.004951,0.0024755
53,16252.8,1.48723,1.14344,1.01875,0.01964,0.36814,0.28562,0.27504,0.15611,1.39549,1.03997,0.98093,0,0.004852,0.004852,0.004852,0.002426
54,16742.8,1.48676,1.14294,1.01528,0.01964,0.37004,0.29146,0.2747,0.15616,1.39188,1.03749,0.97833,0,0.004753,0.004753,0.004753,0.0023765
55,17409.9,1.48728,1.14273,1.01589,0.01964,0.37468,0.28549,0.27539,0.15513,1.39163,1.03593,0.97764,0,0.004654,0.004654,0.004654,0.002327
56,18014.9,1.48226,1.13945,1.01499,0.01963,0.38224,0.28357,0.2768,0.15735,1.38755,1.03506,0.97744,0,0.004555,0.004555,0.004555,0.0022775
57,18501.9,1.48224,1.13238,1.01631,0.01964,0.37859,0.28999,0.27672,0.15729,1.38576,1.02993,0.97551,0,0.004456,0.004456,0.004456,0.002228
58,18992.2,1.47913,1.13773,1.01506,0.01964,0.38186,0.28941,0.27857,0.15868,1.38065,1.0293,0.97443,0,0.004357,0.004357,0.004357,0.0021785
59,19474.1,1.48041,1.13159,1.01512,0.01964,0.38241,0.28718,0.27896,0.15812,1.38661,1.02848,0.97694,0,0.004258,0.004258,0.004258,0.002129
60,19954.2,1.47692,1.12527,1.00991,0.01964,0.38149,0.29076,0.27917,0.15821,1.37794,1.02487,0.97384,0,0.004159,0.004159,0.004159,0.0020795
61,20434.9,1.46539,1.11714,1.01039,0.01964,0.37411,0.28934,0.27674,0.15727,1.37623,1.02541,0.97351,0,0.00406,0.00406,0.00406,0.00203
62,20914.7,1.46485,1.1174,1.00931,0.01964,0.37801,0.29118,0.28055,0.15958,1.3751,1.021,0.97326,0,0.003961,0.003961,0.003961,0.0019805
63,21396.4,1.46607,1.12169,1.01136,0.01964,0.37922,0.29225,0.28202,0.16082,1.37169,1.0187,0.97306,0,0.003862,0.003862,0.003862,0.001931
64,21876.8,1.46013,1.1112,1.00927,0.01964,0.38466,0.29199,0.28291,0.16141,1.37389,1.01874,0.97296,0,0.003763,0.003763,0.003763,0.0018815
65,22354.6,1.45732,1.104,1.00597,0.01964,0.37461,0.29473,0.28223,0.16075,1.37377,1.01649,0.97287,0,0.003664,0.003664,0.003664,0.001832
66,22834.4,1.46937,1.11795,1.00682,0.01964,0.38844,0.29206,0.28248,0.16137,1.37337,1.01709,0.97274,0,0.003565,0.003565,0.003565,0.0017825
