epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,728.119,4.99033,5.24316,3.80807,0.32467,0.27759,0.01192,0.00478,0.0013,3.74218,3.06119,2.44435,0,0.00332921,0.00332921,0.00332921,0.00166461
2,7222.43,3.1537,2.88561,1.82468,0.16379,0.17319,0.08535,0.05249,0.02177,2.53524,2.20844,1.4163,0,0.00659659,0.00659659,0.00659659,0.00329829
3,7994.2,2.53314,2.31549,1.41832,0.09861,0.30628,0.11094,0.07771,0.03437,2.20358,1.89999,1.27377,0,0.00979796,0.00979796,0.00979796,0.00489898
4,8749.26,2.26935,2.08734,1.30684,0.06405,0.23532,0.13684,0.09277,0.04453,2.01871,1.73043,1.19266,0,0.009703,0.009703,0.009703,0.0048515
5,10198.7,2.10442,1.91498,1.23678,0.04485,0.27048,0.14876,0.11325,0.05579,1.89914,1.62931,1.15414,0,0.009604,0.009604,0.009604,0.004802
6,10954.3,2.00775,1.80773,1.19581,0.03365,0.18785,0.16552,0.12229,0.06085,1.83024,1.54298,1.11933,0,0.009505,0.009505,0.009505,0.0047525
7,12394.5,1.95148,1.73947,1.17339,0.02693,0.20462,0.1804,0.13989,0.07091,1.78614,1.48973,1.10505,0,0.009406,0.009406,0.009406,0.004703
8,13153.1,1.90276,1.679,1.15668,0.0229,0.2258,0.1824,0.14806,0.07571,1.74131,1.44466,1.0882,0,0.009307,0.009307,0.009307,0.0046535
9,13916.8,1.86091,1.62855,1.14004,0.02062,0.23679,0.19189,0.15708,0.08153,1.68842,1.41493,1.07408,0,0.009208,0.009208,0.009208,0.004604
10,14682.1,1.82867,1.58403,1.1285,0.01959,0.23472,0.19681,0.16058,0.08312,1.6852,1.39378,1.0679,0,0.009109,0.009109,0.009109,0.0045545
11,15433.6,1.80446,1.54948,1.11938,0.01959,0.2473,0.20532,0.16409,0.08712,1.66402,1.3672,1.05863,0,0.00901,0.00901,0.00901,0.004505
12,16548.4,1.77566,1.52887,1.11476,0.01959,0.34548,0.20848,0.17362,0.09052,1.64697,1.32325,1.05978,0,0.008911,0.008911,0.008911,0.0044555
13,17371.2,1.75427,1.48584,1.10315,0.01959,0.25046,0.21491,0.17195,0.09209,1.62308,1.34017,1.04906,0,0.008812,0.008812,0.008812,0.004406
14,18197.1,1.73228,1.46255,1.09784,0.0196,0.27808,0.22011,0.18704,0.10023,1.60412,1.29919,1.04562,0,0.008713,0.008713,0.008713,0.0043565
15,20844.4,1.72629,1.45599,1.09607,0.0196,0.27793,0.21328,0.18632,0.09949,1.60478,1.28371,1.05024,0,0.008614,0.008614,0.008614,0.004307
16,21590.9,1.71029,1.43494,1.0927,0.01961,0.27852,0.21799,0.19209,0.10283,1.59031,1.26735,1.034,0,0.008515,0.008515,0.008515,0.0042575
17,22333.3,1.70229,1.41615,1.08622,0.01962,0.29111,0.22314,0.20027,0.10753,1.55993,1.23573,1.03116,0,0.008416,0.008416,0.008416,0.004208
18,23080.4,1.67587,1.38988,1.07649,0.01961,0.2776,0.23322,0.20501,0.10977,1.55369,1.23463,1.03085,0,0.008317,0.008317,0.008317,0.0041585
19,23823.4,1.66599,1.37606,1.07356,0.01962,0.2938,0.24052,0.21232,0.114,1.53747,1.21907,1.02334,0,0.008218,0.008218,0.008218,0.004109
20,24572,1.65542,1.36212,1.0716,0.01963,0.30376,0.2308,0.20653,0.11274,1.54329,1.21526,1.02203,0,0.008119,0.008119,0.008119,0.0040595
21,25314.1,1.64584,1.35563,1.06891,0.01962,0.29132,0.23566,0.21208,0.11509,1.53303,1.20652,1.02005,0,0.00802,0.00802,0.00802,0.00401
22,26063.8,1.63669,1.33431,1.06579,0.01963,0.30237,0.2362,0.21466,0.11715,1.51478,1.19235,1.01617,0,0.007921,0.007921,0.007921,0.0039605
