epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,917.14,4.92564,5.3526,3.80563,0.33893,0.61384,0.01625,0.0062,0.00183,3.64782,3.08118,2.26328,0,0.00332921,0.00332921,0.00332921,0.00166461
2,2806.68,3.12414,2.8834,1.80262,0.16328,0.06036,0.09833,0.04703,0.01843,2.58806,2.16093,1.46184,0,0.00659659,0.00659659,0.00659659,0.00329829
3,3568.19,2.5314,2.31727,1.41931,0.09753,0.21327,0.11232,0.07612,0.03533,2.14609,1.85077,1.26039,0,0.00979796,0.00979796,0.00979796,0.00489898
4,4362.63,2.26075,2.07673,1.3082,0.06322,0.26125,0.12668,0.09766,0.04718,2.05682,1.71593,1.21498,0,0.009703,0.009703,0.009703,0.0048515
5,5189.55,2.08907,1.90477,1.23319,0.04432,0.25537,0.14744,0.10851,0.05315,1.91829,1.63594,1.14755,0,0.009604,0.009604,0.009604,0.004802
6,5986.02,1.99781,1.78826,1.19351,0.03335,0.25903,0.16853,0.12726,0.06432,1.82408,1.52333,1.12083,0,0.009505,0.009505,0.009505,0.0047525
7,7415.83,1.94011,1.71589,1.17172,0.02678,0.27954,0.17504,0.12833,0.06515,1.80501,1.51988,1.1078,0,0.009406,0.009406,0.009406,0.004703
8,8174.33,1.88896,1.65968,1.15331,0.02283,0.3292,0.18829,0.14974,0.07843,1.73683,1.42125,1.08686,0,0.009307,0.009307,0.009307,0.0046535
9,8933.85,1.84591,1.60508,1.13665,0.02058,0.23661,0.18592,0.15185,0.0806,1.6897,1.38992,1.07467,0,0.009208,0.009208,0.009208,0.004604
10,9709.18,1.81251,1.56468,1.12471,0.01957,0.34636,0.18689,0.16109,0.08472,1.69173,1.379,1.07215,0,0.009109,0.009109,0.009109,0.0045545
11,10465.8,1.7903,1.53072,1.1152,0.01958,0.23342,0.20343,0.16095,0.08552,1.67814,1.37181,1.06421,0,0.00901,0.00901,0.00901,0.004505
12,11582.1,1.76393,1.50625,1.11104,0.01959,0.35489,0.21021,0.1752,0.0929,1.64681,1.32666,1.06428,0,0.008911,0.008911,0.008911,0.0044555
13,12395.5,1.74226,1.4691,1.0998,0.01959,0.26541,0.21406,0.17827,0.09602,1.61626,1.31791,1.05081,0,0.008812,0.008812,0.008812,0.004406
14,13164.2,1.72305,1.44396,1.09537,0.0196,0.28277,0.21852,0.18564,0.10008,1.60575,1.29719,1.04267,0,0.008713,0.008713,0.008713,0.0043565
15,16283.1,1.71535,1.43627,1.0929,0.0196,0.26847,0.22246,0.18922,0.10197,1.58573,1.27042,1.04205,0,0.008614,0.008614,0.008614,0.004307
16,17051.4,1.69747,1.41871,1.08998,0.01961,0.27552,0.2242,0.19157,0.10133,1.61245,1.27304,1.04304,0,0.008515,0.008515,0.008515,0.0042575
17,17804.3,1.69025,1.39809,1.08279,0.01962,0.33905,0.22675,0.20692,0.11161,1.56625,1.23242,1.03418,0,0.008416,0.008416,0.008416,0.004208
18,18556.6,1.66988,1.37385,1.07502,0.01962,0.28572,0.23351,0.20602,0.10913,1.54799,1.22274,1.02879,0,0.008317,0.008317,0.008317,0.0041585
19,19306,1.65611,1.36135,1.07129,0.01963,0.30419,0.24125,0.21349,0.117,1.53253,1.20409,1.02102,0,0.008218,0.008218,0.008218,0.004109
20,20057.8,1.64616,1.3461,1.06904,0.01962,0.31408,0.23731,0.21561,0.11817,1.53661,1.19753,1.02105,0,0.008119,0.008119,0.008119,0.0040595
21,20820.4,1.63835,1.3438,1.06689,0.01963,0.30878,0.24156,0.22009,0.11916,1.53341,1.20037,1.0203,0,0.00802,0.00802,0.00802,0.00401
22,21574,1.62963,1.31921,1.06452,0.01964,0.40362,0.23885,0.22247,0.12137,1.51939,1.18354,1.01871,0,0.007921,0.007921,0.007921,0.0039605
23,24778.4,1.6265,1.31547,1.06118,0.01963,0.34822,0.24188,0.22593,0.1245,1.49835,1.16017,1.0139,0,0.007822,0.007822,0.007822,0.003911
24,25527.8,1.60499,1.29827,1.05775,0.01964,0.31737,0.24236,0.2247,0.12319,1.50784,1.16989,1.01434,0,0.007723,0.007723,0.007723,0.0038615
25,26278.9,1.59882,1.2867,1.05371,0.01964,0.41969,0.24147,0.22847,0.12514,1.49368,1.15411,1.01067,0,0.007624,0.007624,0.007624,0.003812
26,27032,1.59408,1.2838,1.04979,0.01964,0.35252,0.24667,0.23045,0.12636,1.4862,1.15397,1.00499,0,0.007525,0.007525,0.007525,0.0037625
27,27778.8,1.58851,1.2735,1.05121,0.01964,0.33482,0.25159,0.23249,0.12775,1.4856,1.15812,1.00819,0,0.007426,0.007426,0.007426,0.003713
28,28524.3,1.58355,1.26901,1.04493,0.01964,0.34467,0.24944,0.23643,0.13041,1.47742,1.13703,1.00465,0,0.007327,0.007327,0.007327,0.0036635
29,31627.8,1.58286,1.2663,1.04614,0.01964,0.33378,0.25633,0.23966,0.1332,1.46708,1.13516,1.00109,0,0.007228,0.007228,0.007228,0.003614
30,32400.6,1.56969,1.25703,1.04394,0.01964,0.35653,0.25831,0.24389,0.13475,1.46329,1.12586,1.00139,0,0.007129,0.007129,0.007129,0.0035645
31,33212.3,1.56473,1.24457,1.03949,0.01964,0.37207,0.25549,0.24137,0.13302,1.4569,1.12252,1.00025,0,0.00703,0.00703,0.00703,0.003515
32,34076.3,1.56512,1.23741,1.03756,0.01964,0.34642,0.25927,0.24889,0.13786,1.45334,1.11234,0.99989,0,0.006931,0.006931,0.006931,0.0034655
33,34832.3,1.54895,1.22797,1.03782,0.01964,0.36052,0.2661,0.2475,0.13786,1.44827,1.1155,0.99621,0,0.006832,0.006832,0.006832,0.003416
34,35618.6,1.54839,1.22666,1.03526,0.01964,0.33639,0.26642,0.24704,0.1376,1.44701,1.1099,0.99392,0,0.006733,0.006733,0.006733,0.0033665
