epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,1078.67,5.01431,5.31912,3.83147,0.33403,0.50728,0.0116,0.00393,0.00102,3.77734,3.22287,2.379,0,0.00332921,0.00332921,0.00332921,0.00166461
2,2405.3,3.17622,2.95067,1.85531,0.16404,0.04842,0.10457,0.04684,0.01875,2.606,2.16989,1.46761,0,0.00659659,0.00659659,0.00659659,0.00329829
3,3125.71,2.51857,2.33355,1.41044,0.09847,0.20504,0.10948,0.07235,0.03236,2.20471,1.92426,1.25884,0,0.00979796,0.00979796,0.00979796,0.00489898
4,4090.16,2.26533,2.10527,1.30499,0.06399,0.13893,0.13773,0.09368,0.04523,1.99313,1.726,1.18697,0,0.009703,0.009703,0.009703,0.0048515
5,4947.4,2.09997,1.9302,1.23397,0.04485,0.2491,0.13938,0.10699,0.05332,1.89623,1.65042,1.15521,0,0.009604,0.009604,0.009604,0.004802
6,5646.7,2.00693,1.82145,1.19482,0.03365,0.18483,0.16035,0.11707,0.06007,1.83628,1.58063,1.12302,0,0.009505,0.009505,0.009505,0.0047525
7,6391.95,1.94623,1.7473,1.17248,0.02694,0.27616,0.17792,0.13048,0.06624,1.79278,1.53072,1.10215,0,0.009406,0.009406,0.009406,0.004703
8,7079.51,1.89783,1.69004,1.15479,0.0229,0.21544,0.18663,0.14214,0.07329,1.73824,1.44056,1.08839,0,0.009307,0.009307,0.009307,0.0046535
9,7793.72,1.85874,1.63458,1.13946,0.02062,0.20295,0.19343,0.15231,0.07927,1.69738,1.40854,1.07481,0,0.009208,0.009208,0.009208,0.004604
10,13517.8,1.82386,1.5901,1.12741,0.01959,0.21297,0.19085,0.1522,0.08011,1.70698,1.4029,1.07268,0,0.009109,0.009109,0.009109,0.0045545
11,14189.9,1.8034,1.55371,1.11853,0.01959,0.23109,0.20776,0.15928,0.08372,1.68158,1.37702,1.06349,0,0.00901,0.00901,0.00901,0.004505
